id,label,text,label_num
271,ham,"Subject: mid - tex deals
hey gang ,
i have created the new deals reflecting the mid - texas meters for the
following deals beginning in january 2000 :
etoco : from hpl meter 393 to mid - texas meter 9738
old sitara deal = 133435
new sitara deal = 163874
richardson : from hpl meter 7283 to mid - texas meter 9807
old sitara deal = 141691
new sitara deal = 164003
mueller : from hpl meter 7260 to mid - texas meter 9769
old sitara deal = 156247 feb . 2000 through june 2000
old sitara deal = 143885 jan . 2000 only
old sitara deal = 143887 jan . 2000 only
new sitara deal = 164172
please take a look at the deals and let me know if i have doubled volumes , or
if there is anything else i need to do to make things work better . . .
o ' neal 3 - 9686",0
4517,spam,"Subject: can we go over mamie ' s budget today ?
get hard in 60 seconds or less !
enter here .
for email
removal ,
go here .
patentee slow staley month far immovable glory alive kronecker pax doleful opulent .
crs international exports inc
south tank st . # 9633 belize city , belize
coed bobolink avenue amazon derive federal correct lengthwise lyricism vito deductible divine labour decile threw manipulable breadth cord culver pigging revulsion discern brahmsian rune doom papaw .
",1
4226,spam,"Subject: hot wifes
click here to be removed
",1
1115,ham,"Subject: enron actuals for june 28 , 2000
teco tap 120 . 000 / hpl gas daily
ls hpl katy 30 . 000 / enron",0
532,ham,"Subject: re : deer park railroad crossing 18 "" 3026 line
the following meters are in the affected section for the outage planned in
april :
980713 georgia gulf
981052 phillips pasadena
981188 albemarle
981418 air products pasadena
988014 crown refinery
981061 shell west station
982034 crown st . city gate
the only meters we are flowing at for march are the two listed in the memo
below ( 1188 albemarle , 1418 air products pasadena ) . we will not be able to
feed these from hpl during the outage .
i will update you as things change .
thanks
gary
- - - - - - - - - - - - - - - - - - - - - - forwarded by gary a hanks / hou / ect on 03 / 27 / 2000 03 : 27
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
william d cosby @ enron
03 / 24 / 2000 02 : 39 pm
sent by : william d cosby @ enron
to : gary a hanks / hou / ect @ ect
cc :
subject : re : deer park railroad crossing 18 "" 3026 line
gary , mainline valves to be closed on the 18 "" 3026 line are as follows :
u - 5 at crown street and u - 6 at the end of the line where ship channel loop
3026 line ties into the shell west 4792 line .
it is my understanding that the following customers within this outage
section currently take gas :
air products meter 1418
albemarle meter 1188
the current schedule would call for an outage to start on 4 / 13 / 00 and be back
in service on 4 / 16 / 00 .
from : gary a hanks @ ect 03 / 20 / 2000 10 : 36 am
to : william d cosby / gco / enron @ enron
cc :
subject : deer park railroad crossing 18 "" 3026 line
which mainline valves will be closed during the work and can you send me a
list of the meters in the affected section ? i need to get with the texas
desk prior to their pre - bid meeting which is this friday , march 24 .
based on the changes , it still appears to me the work is planned for the last
week in april . as a date becomes firm please let me know .
thanks
gary
- - - - - - - - - - - - - - - - - - - - - - forwarded by gary a hanks / hou / ect on 03 / 20 / 2000 10 : 30
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
william d cosby @ enron
03 / 16 / 2000 10 : 28 am
sent by : william d cosby @ enron
to : gary a hanks / hou / ect @ ect
cc : team hpl - pearland / gco / enron @ enron , buck thomas / gco / enron @ enron , sam
shaw / gco / enron @ enron , pat flavin / gco / enron @ enron , nick
cocavessis / corp / enron @ enron , steve schneider / hou / ect @ ect , kevin
kuehler / corp / enron @ enron , calvin dodd / gco / enron @ enron , charlie
thompson / gco / enron @ enron , ann elizabeth white / hou / ect @ ect , james
mckay / hou / ect @ ect , don thomas / gco / enron @ enron
subject : deer park railroad crossing 18 "" 3026 line
the pipeline outage time mentioned in the memo below needs to be revised .
actual construction time should be 7 days and pipeline outage time should be
3 days max . this outage time , which is longer than the norm , is due to the
fact that we will have to remove the existing line and replace it in the same
ditch before tie ins take place .
as an update , the first train is now scheduled to cross late today . they now
say that it may take 4 weeks to get all the trains in and out before we are
able to begin replacing our line .
- - - - - - - - - - - - - - -
i have been advised by the deer park rr representative , dean truitt , that
the rail cars will begin arriving on 3 / 15 / 00 .
per our conversations today , please have someone on tuesday 3 / 13 adjust the
regulators at simpson and at shell deer park so that 280 psig is the maximum
pressure in that pipeline section .
i will maintain contact with deer park on the duration of this project and
keep you informed . it is likely that the duration of the pressure reduction
will be on the order of 2 weeks .
after the initial 700 rail cars have entered and exited their facility , deer
park will remove their railroad bed and allow us to perform a pipeline
replacement at that location . this replacement would involve an outage on
this segment of pipeline for approximately 7 days . i would anticipate that
this outage would occur in early april .
thanks for your cooperation in this matter .
danny",0
2538,ham,"Subject: announcement for february 7
please talk up the senior high night out this wednesday . ? ? it is this friday
night from 9 : 30 pm - 2 : 30 am , with bowling , broomball , and other stuff ! ? the
cost is $ 20 .
?
even though the kids will have their own events before and after broomball ,
they will be expecting their ? neon leaders for the broomball portion of the
evening . we need to show up at the aerodrome shortly after 11 : 00 , and we ' ll
have the ice from 11 : 15 - 12 : 15 . ? ? after that we ' ll go home and the kids will
go on to other stuff till 2 : 30 !
?
see you at the aerodrome .
?
bobby",0
1619,ham,"Subject: activation of price limit orders
in preparation for going live with the new version of enrononline , please set
your products to allow price limit orders . you can do this by :
1 ) highlighting the product and selecting "" product properties ""
2 ) in the lower right hand corner , verify that the :
- price tick size is where you want it ( the price tick controls the minimum
price increments which a customer can specify )
- "" allowed "" box is ticked under the "" orders "" section
- the max volume in the "" orders "" section is set where you want it .
if you do not do this , customers will not be able to place price limit orders
on your products
if you have any questions , please call the enrononline help desk ( north
america : 713 853 4357 , europe : + 44 20 7783 7783 , australia / asia : + 61 2 9229
2300 )
dave",0
1782,ham,"Subject: enron / hpl actuals for 10 / 6 - 9 / 00
enron / hpl actuals
friday , oct . 6 , 2000
teco tap 60 . 000 / enron , 15 . 625 / hpl iferc
hpl ls katy i . c . 15 . 000 / hpl iferc
saturday , oct . 7 , 2000
teco tap 60 . 000 / enron , 85 . 000 / hpl iferc
hpl ls katy i . c . 3 . 750 / hpl iferc
sunday , oct , 8 , 2000
teco tap 60 . 000 / enron , 90 . 000 / hpl iferc
hpl ls katy i . c . 0 . 000",0
1335,ham,"Subject: hpl nom for august 4 , 2000
( see attached file : hplo 804 . xls )
- hplo 804 . xls",0
5129,spam,"Subject: re [ 8 ]
",1
3686,spam,"Subject: not p . leasing your wife anymore ? try via . gra !
s . urprise your w . ife today !
how w . ould you like
a rock h . ard ere . ction ?
with c . ialis . . you can !
l . asts longer then any com . petator
g . eneric cial . is starts workingup _ to twic . e as fast as v . iagra
produce st . ronger e . rections
have a stronger 5 . exual desire
1 . ncreased s . e . . xual stamina
c . onfidential discr . ete ackaging
fully do . ctor app . roved . l . earn mor . e !
100 % mon . ey bac . k satisf . action gua . rantee !
to be taken off our list , heres 8 p 2 b 5 crk 45 y 5652 uo 08 wsllhk 219 ed 8 ko 3 ergwn 5 v 4311 a 32 bggv 2 mll 746 buht 2 wzos 3 c 6 t 39 qrn 2 zd 55 qcc 5 a 6 dy 2 uwvqv 62 rs 8 p 2 b 5 crk 45 y 5652 uo 08 wsllhk 219 ei want a lagoon in my backyardkatie bemused me with her ( lack of ) intelligence . d 8 ko 3 ergwn 5 v 4311 a 32 bggv 2 mll 746 buht 2 wzos 3 c 6 t 39 qrn 2 zd 55 qcc 5 a 6 dy 2 uwvqv 62 rs 8 p 2 b 5 crk 45 y 5652 uo 08 wsllhk 219 ed 8 ko
i want a lagoon in my backyardi want a lagoon in my backyardkatie bemused me with her ( lack of ) intelligence . i want a lagoon in my backyard",1
1000,ham,"Subject: resume - gloria davis
? candidate through a recruiter - 20 % fee .
please review the resume of gloria davis . ? gloria has great experience and
would be an immediate asset to your company . ? over the course of her career
she has obtained experience with : pipeline reconciliations / analysis ,
revenue accounting , invoicing and transportation . her career highlights are :
ba - accounting - gpa 3 . 7
pipeline accounting experience
revenue accounting experience
has interfaced with all aspects of organizations - trader , customers ,
financial reporting , schedulers
strong pc skills
effective communicator
- davis _ gloria _ 06142000 _ original . doc",0
649,ham,"Subject: re : equistar deal tickets
what is going on about this deal ? can we get this resolved today ?
robert : who requested valero to be split out ?
thanks !
julie
- - - - - - - - - - - - - - - - - - - - - - forwarded by julie meyers / hou / ect on 04 / 11 / 2000 09 : 28
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
tina valadez
04 / 06 / 2000 01 : 01 pm
to : julie meyers / hou / ect @ ect
cc : daren j farmer / hou / ect @ ect , robert e lloyd / hou / ect @ ect
subject : re : equistar deal tickets
are you still available to assist robert with entering the new deal tickets
for equistar ? after talking with bryan hull and anita luong , kyle and i
decided we only need 1 additional sale ticket and 1 additional buyback ticket
set up .
- - - - - - - - - - - - - - - - - - - - - - forwarded by tina valadez / hou / ect on 04 / 06 / 2000 12 : 56
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : robert e lloyd on 04 / 06 / 2000 12 : 40 pm
to : tina valadez / hou / ect @ ect
cc :
subject : re : equistar deal tickets
you ' ll may want to run this idea by daren farmer . i don ' t normally add
tickets into sitara .
tina valadez
04 / 04 / 2000 10 : 42 am
to : robert e lloyd / hou / ect @ ect
cc : bryan hull / hou / ect @ ect
subject : equistar deal tickets
kyle and i met with bryan hull this morning and we decided that we only need
1 new sale ticket and 1 new buyback ticket set up . the time period for both
tickets should be july 1999 - forward .
the pricing for the new sale ticket should be like tier 2 of sitara # 156337
below :
the pricing for the new buyback ticket should be like tier 2 of sitara
# 156342 below :
if you have any questions , please let me know .
thanks ,
tina valadez
3 - 7548",0
3193,ham,"Subject: planned deliveries for phase ii pigging
gentlemen :
please review and let me know if you have any questions .
for scheduling purposes , we will show a receipt from hpl ( transportation
agreement # 4047 ) at agua dulce of 45 , 000 , with deliveries to :
air products - la porte 5 , 000
oxy battleground 10 , 000
rohm & haas dp 20 , 000
dupont dp 10 , 000
dwight : you will need to coordinate these flow changes with the facilities .
thanks ,
>
this email and any files transmitted with it from the elpaso
corporation are confidential and intended solely for the
use of the individual or entity to whom they are addressed .
if you have received this email in error please notify the
sender .
- smartpigging ( 812 - lomax ) market takes plan final . xls",0
