id,label,text,label_num
1671,ham,"Subject: cleburne
cleburne should be it ' s own desk . rick hill should be set up as trader / head
of desk . let me know if you have more questions .
dave",0
3260,ham,"Subject: cowtrap allocation - 4 / 01
i received the above allocation for this deal where there is a purchase from spinnaker and a sale to dow . the volumes have not be actualized so there is nothing in volume management . can one of you look into this and get back to me .
thanks ,
joyce",0
4204,spam,"Subject: re : code # yr - 983795 - o
hi ,
i sent you an email last week and i ' d like to confirm everything now .
please read the info below and let me know if you have any questions .
we are accepting your m . ortgage application . if you have b - ad c . redit ,
it ' s ok . you can get a $ 200 , 000 loan for a $ 350 per month payment .
approval process will only take 1 minute . just visit the link below and
fill out the short form .
thank you
best regards ,
manager : margarita pruitt
usa broker group
yael has a beautiful new home in new jersey -
and you can too !
future options :
sterlinglenders . com / st . html
",1
589,ham,"Subject: 980432
daren ,
can you please see if you can roll deal 156657 for day 1 for april ?
this deal expired 3 / 2000 . there was no new deal # referenced nor was the
evergreen flag applied .
this meter flowed 556 mmbtu ' s on april 1 , 2000 .
thanks
- jackie -
3 - 94987",0
3221,ham,"Subject: life in general
good god - - - - where do you find time for all of that . you should write a book when the kids go off to college . by then you should have many many stories .
by the way what is your new address ? i may want to come by some evening with a lawn chair and a 6 pack . watching you work sounds better than anything on tv .
you will make a good trader . good relationships and flexible pricing are all you need . oh , and a few zillion other intangibles you will run into . it beats the hell out of most other things though .
i ' ll let you be for now , but do keep those stories coming - - - - we love them .
ken",0
2751,ham,"Subject: hpl nom for march 17 , 2001
( see attached file : hplno 317 . xls )
- hplno 317 . xls",0
21,ham,"Subject: january spot tickets
daren ,
hplc is purchasing gas from the following list of producers . this
production is currently being purchased on a spot basis and deal tickets
should be entered into sitara for the follow :
counterparty meter mmbtu / d price
engage energy us , lp 5839 600 100 % less $ 0 . 18
engage energy us , lp 5848 500 100 % less $ 0 . 18
engage energy us , lp 5923 700 100 % less $ 0 . 18
engage energy us , lp 6801 1 , 100 100 % less $ 0 . 18
gasper rice resources , ltd . 9810 1 100 % less $ 0 . 11
prize resources 4028 1 , 300 100 % less $ 0 . 20
prize resources 4965 200 100 % less $ 0 . 35
prize resources 5121 800 100 % less $ 0 . 11
prize resources 6523 40 100 % less $ 0 . 35
swift energy 2630 20 90 % less $ 0 . 258
whiting petroleum 6523 500 ? ? ?
additionally , i asked carlos to search sitara for what would be essentially
be a spot ticket for the incremental volumes delivered to meter 9610 ( cage
ranch ) for the production month of november . i ' ve received executed paper
from coastal documenting a purchase price of 100 % of gas daily less a gpm
sliding scale . please confirm whether or not a sitara ticket has been
generated . if not , please use this e - mail as a request to do so .
thanks ,
vlt
x 3 - 6353",0
4494,spam,"Subject: wow , superfast delivery
sa ; ve 7 _ 0 % ord . ering onl / ine to ` day !
vi ! sit our site and sa ! ve big
removemeplease
",1
3849,spam,"Subject: homeowners - get more money in your pocket . here is how !
free mortgage quote !
- - - - - - - - - - - - - - - - - - - - - - - - -
there are over 89 , 000 mortgage companies in the u . s . , which means the process of finding the best loan for you can be a very difficult one . let us do the hard work for you !
simply spend 2 minutes filling out a short form , press the submit button , and we take it from there . . . finding the best deals possible , and getting the lenders to contact you ! it ' s short , it ' s simple , it ' s free , and it will save you thousands of dollars !
click here for your free quote
if you would believe you received this email in error , or never subscribed to great weekly offers you may unsubscribe by clicking here .",1
2963,ham,"Subject: re : new production
vance ,
the following deals have been created and entered in sitara :
bob
from : vance l taylor / enron @ enronxgate on 03 / 30 / 2001 12 : 57 pm
to : robert cotten / hou / ect @ ect
cc : julie meyers / hou / ect @ ect , cynthia hakemack / hou / ect @ ect , melissa
graves / enron @ enronxgate , susan smith / enron @ enronxgate , donald p
reinhardt / enron @ enronxgate
subject : new production
bob ,
the following production is now on - line and a ticket should be created and
entered into sitara based on the following :
counterparty meter volumes deal # price period global no .
suemaur explor & prod 9881 1300 mmbtu / d 709716 100 % gd less $ 0 . 10
3 / 22 - 3 / 31 96058314
mslatx p / l company 9880 2000 mmbtu / d 709721 100 % gd less $ 0 . 25 3 / 27 - 3 / 31
96058031
fyi , i have created and submitted a committed reserves firm ticket for the
remaining term of the deal beginning with the month of april . additionally ,
this is a producer svcs . deal and should be tracked in the im wellhead
portfolio . . . attached to the gathering contract .
thanks ,
vlt
x 3 - 6353",0
1143,ham,"Subject: enron / hpl actuals for july 5 , 2000
teco tap 10 . 000 / enron ; 75 . 000 / hpl iferc
ls hpl lsk ic 30 . 000 / enron",0
2481,ham,"Subject: reviews
heather will be calling each of up to set up a time to discuss your review
for 2000 .
please bring with you two items that you plan on working on during the first
six months of 2001 .
these should be items that improve the process around your area or brings
additional
income to enron .
thanks
bob",0
839,ham,"Subject: re : job posting
daren , is this position budgeted and who does it report to ?
thanks
toni graham
x 39995
daren j farmer @ ect
05 / 30 / 2000 06 : 30 am
to : toni graham / corp / enron @ enron
cc :
subject : job posting
toni ,
attached is the job posting for my group . please process this as soon as
possible . thanks .
daren",0
4475,spam,"Subject: gail
email loading . . . &
scuffle beverage clemson vivo chaplaincy brick dactylic acquaintance bluster complimentary draftsman delightful convolute aegis wildcat bear denotative annual hardboard dendrite stormbound counterproductive brunt discoid likewise produce wiry custody grillwork palestinian brassiere drunken
",1
