id,label,text,label_num
3787,spam,"Subject: no more injections
",1
3887,spam,"Subject: fwd : screw doctors . stocks available . vlagr @ . x _ a _ nax . v ~ a ~ lium . vlcodi * n . tscmiwli
if a man hire a sailor , he shall pay him six gur of corn per year .
we are your convenient , safe and private online source for fda approved prescriptions .
adipex 30 pills - 37 . 5 mg tablets - $ 169 . 99
tramadol 30 pills - 50 mg tablets - $ 99 . 99
60 tablets of ativan 1 mg . $ 189 . 99
levitra 5 pills - 20 mg tablets - - $ 129 . 99
no embarassment - prescriptions are always confidential .
buy online in the comfort of your home . . lifemeds . biz
if you are an aol user , please use microsoft internet explorer when visiting the link . there is a bug on aol browser that prevents certain features of the website lifemeds . biz from displaying .
since why to love , i can allege no cause .
for thy neglect of truth in beauty dyed ?
who hateth thee that i do call my friend ,
which like a jewel ( hung in ghastly night )
",1
3248,ham,"Subject: re : noms / actual vols for 15 th & 16 th
we agree
"" eileen ponton "" on 05 / 17 / 2001 05 : 43 : 09 pm
to : david avila / lsp / enserch / us @ tu , charlie stone / energy / txu @ tu , melissa
jones / texas utilities @ tu , hpl . scheduling @ enron . com , liz . bellamy @ enron . com ,
szajac @ enron . com
cc :
subject : noms / actual vols for 15 th & 16 th
date nom mcf mmbtu
5 / 15 0 417 428
5 / 16 38 , 750 38 , 232 39 , 264",0
2903,ham,"Subject: hpl nom for march 29 , 2001
( see attached file : hplno 329 . xls )
- hplno 329 . xls",0
141,ham,"Subject: hpl nomination for january 15 thru 17 , 2000
( see attached file : hplol 15 . xls )
- hplol 15 . xls",0
4993,spam,"Subject: 30 seconds refinance
hello ,
we sent you an email a while ago , because you now qualify
for a much lower rate based on the biggest rate drop in years .
you can now get $ 300 , 000 for as little as $ 650 a month !
bad credit ? doesn ' t matter , low rates are fixed no matter what !
follow this link to process your application and a 24 hour approval :
best regards ,
ivory dove
to be remov ( ed : http : / / www . r 8 tesdrop . com / x / st . html
",1
2102,ham,"Subject: re : ces - devon
rita ,
since this is the case , i think we need to change the way we are booking this
deal . currently , the ces - devon purchase is on 8348 , which is a dummy inlet
to the plant . rather , we should probably just have the ena purch at the
tailgate , 986363 , with a d 2 d ticket that transfers ownership to hpl , if
necessary . please let me know what you think .
mary",0
2080,ham,"Subject: calpine daily gas nomination
>
ricky a . archer
fuel supply
700 louisiana , suite 2700
houston , texas 77002
713 - 830 - 8659 direct
713 - 830 - 8722 fax
713 - 562 - 2050 cell
- calpine daily gas nomination 1 . doc",0
4319,spam,"Subject: how to earn thousands writing google adwords part - time kara
googlecash gives you all the tools you need to turn the search engine google . com into
an autopilot cash generating machine !
what ' s your dream lifestyle ?
phosphor disco ghoulish eardrum airplane geriatric approximant drop colby coquette
greta corollary trafficking mimi horseplay diamond diverge cession handline
babysat eccles wave beaver boletus parasol widget mona adipic endurance marketwise
carrara ovary medicine musician nuance bloodbath clamshell caramel
jostle tamale gladiolus goldberg papa proper pump allure constant magna
cat albatross upholstery presumptuous inconspicuous clink auditor acrobat freshwater peptide bakersfield
brutal ablution byzantine putnam chafe despoil bloodroot disciplinarian
margo ferrite irresistible dessert cyclic latch mileage corset pinkish
ellis blue phonology difficulty belle largesse ani stomach inductor
worthwhile rhea axon jumble handy epiphany nonogenarian bamako below
buick narcissist divestiture marketplace cameron alcoholic celebrate sapient mutiny tetrachloride emboss
pink anomaly oratorical wakeup prominent huntington demark tippy
beheld arbitrary dais wound bullfinch salve content dibble aug
auditor though zachary drill worm pubescent reptile augustus copperhead hydrology
clock questionnaire dynamo claret effloresce lodge madam anthropomorphism
",1
1457,ham,"Subject: spot or firm tickets
vance ,
the following nominations do not have deal tickets in sitara for september ,
2000 activity . please advise whether the deals will be spot or firm . daren
wants everything in sitara by 3 pm on monday , august 28 . thanks .
bob
source meter # sept nom
ccgm , lp 9840 1 , 000
cross - tex 5467 250
cummins & walker unk 500
dallas production 6789 12 , 519
duke energy trading 6347 206
eex operating 5999 11 , 632
eog resources 4157 76
hesco gathering 9624 100
hesco gathering 9835 700
ph exploration 6838 94
pioneer exploration 2698 1 , 000
pure resources 9830 500
rio vista 6442 609
samson lonestar 9845 2 , 886
swift energy 2630 322
tema oil & gas 4688 1
tri - union develop . 2697 700
whiting petroleum 6523 100",0
