ID,label,text,label_num
3001,spam,Subject: Cơ hội trở thành chuyên gia trong một tháng!,0
3002,ham,Subject: Hãy kiểm tra báo cáo giao dịch của bạn trong ứng dụng.,1
3003,ham,"Subject: Chào bạn, đơn hàng của bạn đã được giao thành công!",1
3004,ham,Subject: Cảm ơn bạn đã tham gia chương trình sức khỏe của chúng tôi.,1
3005,ham,Subject: Cảm ơn bạn đã tham gia chương trình sức khỏe của chúng tôi.,1
3006,spam,Subject: Bạn có muốn trở thành triệu phú? Nhấn vào đây để tìm hiểu thêm!,0
3007,ham,Subject: Hãy theo dõi đơn hàng của bạn qua ứng dụng!,1
3008,ham,Subject: Chúng tôi đã gửi thông báo về khoản vay mới cho bạn.,1
3009,ham,Subject: Hãy tham gia hội thảo trực tuyến về kỹ năng mềm!,1
3010,spam,Subject: Đừng bỏ lỡ cơ hội vay tiền nhanh chóng mà không cần chứng minh thu nhập!,0
3011,ham,Subject: Cảm ơn bạn đã tham gia vào chương trình sự kiện giải trí!,1
3012,spam,Subject: Đừng bỏ lỡ cơ hội kiếm tiền từ việc xem video!,0
3013,spam,Subject: Đừng bỏ lỡ cơ hội vay tiền nhanh chóng mà không cần chứng minh thu nhập!,0
3014,spam,Subject: Nhấn vào đây để nhận link tải game miễn phí!,0
3015,spam,Subject: Khóa học miễn phí về cách kiếm tiền online!,0
3016,spam,"Subject: Giảm giá cực sốc, chỉ 50% cho sản phẩm không cần thiết!",0
3017,spam,"Subject: Giảm giá cực sốc, chỉ 50% cho sản phẩm không cần thiết!",0
3018,ham,Subject: Cảm ơn bạn đã đăng ký khóa học tiếng Anh của chúng tôi.,1
3019,ham,Subject: Đừng quên xem bộ phim mới ra mắt vào cuối tuần này!,1
3020,spam,Subject: Đừng bỏ lỡ cơ hội kiếm tiền từ việc xem video!,0
3021,ham,Subject: Hẹn lịch khám bệnh với bác sĩ qua ứng dụng của chúng tôi.,1
3022,ham,Subject: Chúng tôi đã nhận được yêu cầu đổi hàng của bạn.,1
3023,ham,Subject: Cảm ơn bạn đã tham gia chương trình sức khỏe của chúng tôi.,1
3024,ham,Subject: Hẹn lịch khám bệnh với bác sĩ qua ứng dụng của chúng tôi.,1
3025,ham,Subject: Cảm ơn bạn đã sử dụng dịch vụ ngân hàng trực tuyến.,1
3026,spam,Subject: Đừng bỏ lỡ cơ hội vay tiền nhanh chóng mà không cần chứng minh thu nhập!,0
3027,ham,Subject: Chúng tôi đã nhận được yêu cầu đổi hàng của bạn.,1
3028,spam,Subject: Chương trình khuyến mãi cực sốc: Xem phim miễn phí!,0
3029,ham,Subject: Thông báo: Bạn đã được đặt lịch tiêm vaccine.,1
3030,spam,Subject: Nhận ngay tài liệu miễn phí cho kỳ thi sắp tới!,0
3031,spam,"Subject: Sản phẩm chống lão hóa siêu hiệu quả, đảm bảo 100%!",0
3032,spam,Subject: Bạn đã trúng thưởng iPhone 14! Nhấn vào đây để nhận ngay.,0
3033,spam,"Subject: Giảm giá cực sốc, chỉ 50% cho sản phẩm không cần thiết!",0
3034,ham,Subject: Cảm ơn bạn đã đăng ký khóa học tiếng Anh của chúng tôi.,1
3035,spam,Subject: Bạn đã trúng thưởng iPhone 14! Nhấn vào đây để nhận ngay.,0
3036,ham,Subject: Chương trình khuyến mãi cho thuê phim trực tuyến chỉ trong tháng này.,1
3037,ham,Subject: Chúng tôi đã nhận được yêu cầu đổi hàng của bạn.,1
3038,spam,Subject: Đừng bỏ lỡ cơ hội kiếm tiền từ việc xem video!,0
3039,ham,Subject: Chúng tôi đã cập nhật các bài hát mới nhất trên ứng dụng!,1
3040,ham,Subject: Đừng quên xem bộ phim mới ra mắt vào cuối tuần này!,1
3041,ham,Subject: Hãy tham gia hội thảo trực tuyến về kỹ năng mềm!,1
3042,ham,Subject: Hãy kiểm tra lịch phát sóng chương trình yêu thích của bạn.,1
3043,ham,Subject: Cảm ơn bạn đã đăng ký khóa học tiếng Anh của chúng tôi.,1
3044,spam,Subject: Bạn có muốn trở nên khỏe mạnh hơn mà không cần tập luyện?,0
3045,spam,Subject: Nhấn vào đây để nhận thẻ tín dụng miễn phí!,0
3046,ham,Subject: Hẹn lịch khám bệnh với bác sĩ qua ứng dụng của chúng tôi.,1
3047,ham,Subject: Hẹn lịch khám bệnh với bác sĩ qua ứng dụng của chúng tôi.,1
3048,spam,Subject: Cảm giác tuyệt vời khi có tiền trong tài khoản chỉ với 30 phút!,0
3049,ham,"Subject: Chào bạn, đơn hàng của bạn đã được giao thành công!",1
3050,spam,Subject: Bạn có thể học bất kỳ kỹ năng nào chỉ trong 7 ngày!,0
3051,ham,Subject: Chương trình khuyến mãi cho thuê phim trực tuyến chỉ trong tháng này.,1
3052,ham,Subject: Hãy tham gia hội thảo trực tuyến về kỹ năng mềm!,1
3053,spam,"Subject: Giảm giá cực sốc, chỉ 50% cho sản phẩm không cần thiết!",0
3054,ham,Subject: Tài liệu học tập đã được cập nhật trên trang web.,1
3055,ham,Subject: Đừng bỏ lỡ khóa học trực tuyến miễn phí về lập trình!,1
3056,ham,Subject: Thông báo: Bạn đã được đặt lịch tiêm vaccine.,1
3057,spam,Subject: Đừng bỏ lỡ: Chương trình học bổng 100%!,0
3058,ham,"Subject: Chào bạn, đơn hàng của bạn đã được giao thành công!",1
3059,spam,Subject: Đừng bỏ lỡ cơ hội kiếm tiền nhanh chóng từ nhà!,0
3060,ham,Subject: Hãy kiểm tra lịch phát sóng chương trình yêu thích của bạn.,1
3061,spam,Subject: Nhấn vào đây để nhận thông tin về thuốc tăng cường sinh lý!,0
3062,ham,Subject: Bạn có thể tạo thẻ tín dụng ngay hôm nay!,1
3063,ham,Subject: Chúng tôi đã cập nhật thông tin về bệnh viện trên trang web.,1
3064,spam,Subject: Nhấn vào đây để nhận thông tin về thuốc tăng cường sinh lý!,0
3065,ham,Subject: Hãy theo dõi sức khỏe của bạn với ứng dụng sức khỏe.,1
3066,ham,Subject: Tài liệu học tập đã được cập nhật trên trang web.,1
3067,ham,Subject: Cảm ơn bạn đã sử dụng dịch vụ ngân hàng trực tuyến.,1
3068,ham,Subject: Chúng tôi đã gửi thông báo về khoản vay mới cho bạn.,1
3069,spam,"Subject: Giảm giá cực sốc, chỉ 50% cho sản phẩm không cần thiết!",0
3070,ham,Subject: Chúng tôi đã cập nhật các bài hát mới nhất trên ứng dụng!,1
3071,spam,Subject: Bạn có muốn trở thành triệu phú? Nhấn vào đây để tìm hiểu thêm!,0
